ip,lat,lon,city,country
146.174.160.17,1.2897,103.8501,Singapore,SG
146.174.169.132,1.2897,103.8501,Singapore,SG
146.174.185.2,1.2897,103.8501,Singapore,SG
146.174.186.127,1.2897,103.8501,Singapore,SG
62.60.160.33,35.5522,51.235,Eslamshahr,IR
146.174.167.15,1.2897,103.8501,Singapore,SG
146.174.163.5,1.2897,103.8501,Singapore,SG
193.186.4.30,55.7522,37.6156,Moscow,RU
202.76.167.20,1.2897,103.8501,Singapore,SG
146.174.182.145,1.2897,103.8501,Singapore,SG
162.120.188.25,52.5244,13.4105,Berlin,DE
146.174.179.218,1.2897,103.8501,Singapore,SG
146.174.172.137,1.2897,103.8501,Singapore,SG
202.76.167.203,1.2897,103.8501,Singapore,SG
146.174.160.20,1.2897,103.8501,Singapore,SG
146.174.180.72,1.2897,103.8501,Singapore,SG
146.174.169.38,1.2897,103.8501,Singapore,SG
202.76.167.59,1.2897,103.8501,Singapore,SG
146.174.168.97,1.2897,103.8501,Singapore,SG
146.174.185.132,1.2897,103.8501,Singapore,SG
5.177.145.21,39.9199,32.8543,Ankara,TR
151.135.113.58,41.0138,28.9497,Istanbul,TR
146.174.189.58,1.2897,103.8501,Singapore,SG
90.116.95.66,43.6635,7.1479,Cagnes-sur-Mer,FR
146.174.189.43,1.2897,103.8501,Singapore,SG
146.174.182.33,1.2897,103.8501,Singapore,SG
202.76.165.58,1.2897,103.8501,Singapore,SG
146.174.178.98,1.2897,103.8501,Singapore,SG
146.174.164.202,1.2897,103.8501,Singapore,SG
146.174.179.186,1.2897,103.8501,Singapore,SG
146.174.175.24,1.2897,103.8501,Singapore,SG
146.174.186.252,1.2897,103.8501,Singapore,SG
146.174.179.49,1.2897,103.8501,Singapore,SG
146.174.165.105,1.2897,103.8501,Singapore,SG
146.174.181.206,1.2897,103.8501,Singapore,SG
146.174.190.61,1.2897,103.8501,Singapore,SG
202.76.167.70,1.2897,103.8501,Singapore,SG
35.159.91.101,50.1155,8.6842,Frankfurt am Main,DE
146.174.161.174,1.2897,103.8501,Singapore,SG
146.174.164.242,1.2897,103.8501,Singapore,SG
146.174.177.80,1.2897,103.8501,Singapore,SG
202.76.164.21,1.2897,103.8501,Singapore,SG
146.174.182.115,1.2897,103.8501,Singapore,SG
146.174.181.223,1.2897,103.8501,Singapore,SG
146.174.164.11,1.2897,103.8501,Singapore,SG
146.174.191.20,1.2897,103.8501,Singapore,SG
202.76.165.197,1.2897,103.8501,Singapore,SG
146.174.183.110,1.2897,103.8501,Singapore,SG
37.236.56.5,32.616,44.0249,Karbala,IQ
146.174.165.34,1.2897,103.8501,Singapore,SG
146.174.185.251,1.2897,103.8501,Singapore,SG
146.174.191.204,1.2897,103.8501,Singapore,SG
146.174.166.180,1.2897,103.8501,Singapore,SG
